origin,dest,count
270170702004,270170701003,199
270170702004,270170701004,133
270170702004,270170701005,185
270170702004,270170702001,486
270170702004,270170702002,783
270170702004,270170702003,171
270170702004,270170702004,667
270170702004,270170703002,3
270170702004,270170704011,661
270170702004,270170704012,7
270170702004,270179400001,30
270170702004,270179400002,41
270170703001,270170702001,2
270170703001,270170703001,704
270170703001,270170703002,257
270170703001,270170703003,164
270170703001,270170704012,22
270170703001,270170704021,21
270170703001,270170704022,1
270170703001,271370102001,13
270170703002,270170701001,12
270170703002,270170701002,6
270170703002,270170701003,2
270170703002,270170701004,1
270170703002,270170702001,81
270170703002,270170702002,2
270170703002,270170702004,5
270170703002,270170703001,316
270170703002,270170703002,1399
270170703002,270170703003,175
270170703002,271370111023,8
270170703003,270170703001,181
270170703003,270170703002,171
270170703003,270170703003,527
270170703003,271370102001,15
270170703003,271370111024,13
270170704011,270170701001,423
270170704011,270170701002,196
270170704011,270170701003,132
270170704011,270170701004,341
270170704011,270170701005,347
270170704011,270170702001,286
270170704011,270170702002,927
270170704011,270170702003,222
270170704011,270170702004,734
270170704011,270170703002,1
270170704011,270170704011,2047
270170704011,270170704012,18
270170704011,270179400001,86
270170704011,270179400002,150
270170704012,270170701002,1
270170704012,270170701004,1
270170704012,270170702001,13
270170704012,270170702002,188
270170704012,270170702003,1
270170704012,270170702004,7
270170704012,270170703001,23
270170704012,270170704011,10
270170704012,270170704012,1122
270170704012,270170704021,222
270170704012,270170704022,50
270170704012,270170705021,11
270170704012,270179400002,41
270170704021,270170702001,15
270170704021,270170702002,19
270170704021,270170703001,21
270170704021,270170704012,200
270170704021,270170704021,883
270170704021,270170704022,15
270170704021,270170704023,22
270170704022,270170704012,53
270170704022,270170704021,22
270170704022,270170704022,395
270170704022,270170704023,9
270170704022,270170705021,37
270170704022,270170705022,19
270170704023,270170704021,29
270170704023,270170704022,12
270170704023,270170704023,197
270170704023,270170705022,8
270170705011,270170705011,1515
270170705011,270170705012,1977
270170705011,270170705022,23
270170705011,270170705023,3
